Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs,
18.09.2023,USA - TMH,212,TMH ORDER 02,723,111041,6.00 - 9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,80,3.12,"2,144.00",
18.09.2023,USA - TMH,212,TMH ORDER 02,723,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,62,4.5,"2,907.80",
18.09.2023,USA - TMH,212,TMH ORDER 02,723,133041,2.50-15,RUNNERSOLID,BLACK,STD,7,3 LAYER,65.9,0.1127,16,1.8,"1,054.40",
18.09.2023,USA - TMH,212,TMH ORDER 02,723,138041,8.25-15,RUNNERSOLID,BLACK,STD,6.5,3 LAYER,85.5,0.1362,16,2.18,"1,368.00",
18.09.2023,USA - TMH,212,TMH ORDER 02,723,139041,3.00-15,RUNNERSOLID,BLACK,STD,8,3 LAYER,105.9,0.1682,8,1.35,847.2,
18.09.2023,USA - TMH,212,TMH ORDER 02,723,141051,7.00 - 15,ROCKSOLID,BLACK,STD,5.5,3 LAYER,56.3,0.0946,24,2.27,"1,351.20",
18.09.2023,USA - TMH,212,TMH ORDER 02,723,701071,10x5x6 1/2,RUNNERBAND,BLACK,SMOOTH,,2 LAYER,7.7,0.0084,40,0.34,308,
18.09.2023,USA - TMH,212,TMH ORDER 02,723,702071,12x4 1/2x8,RUNNERBAND,BLACK,SMOOTH,,2 LAYER,9.2,0.0109,30,0.33,276,
18.09.2023,USA - TMH,212,TMH ORDER 02,723,705071,14x5x10,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12.4,0.0165,24,0.4,297.6,
18.09.2023,USA - TMH,212,TMH ORDER 02,723,711071,16x6x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,192,4.97,"3,763.20",
18.09.2023,USA - TMH,212,TMH ORDER 02,723,714071,18x6x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0328,40,1.31,912,
18.09.2023,USA - TMH,212,TMH ORDER 02,723,719071,21x7x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,35.4,0.052,120,6.24,"4,248.00",
18.09.2023,USA - TMH,212,TMH ORDER 02,723,711072,16x6x10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0259,40,1.04,764,
